VM2,Birth/Death Registration Integration With Services,CDK Global (India)Pvt Ltd," There are different services which are linked to Birth and Death of an individual. If these services are integrated together it will help individuals. Maternity Nursing home register’s child birth to Municipal Office Then Parent / guardian can one time enter the name of their child and get a print of Birth Certificate after few days. No need to visit MO. In case of Death registration at MO then build a system which will notify all tear down services to update death status of the individual.",Software - Mobile App development,Software,Simple,"
                      Industry Personnel                      "
VM1,Common Corporate Social Responsibility(CSR) Portal,CDK Global (India)Pvt Ltd," Currently most organisation have their own CSR activities and perform social events separately.
Due to lack of resources and budgets, it limits their ability to perform these activities on larger scale or remote areas. Also other corporates may not be aware of such events, so that they can participate as well.
So idea is to develop an organised  Common CSR portal where different corporates or individuals can come  together and collectively provide valuable service to society.",Software - Web App development,Software,Simple,"
                      Industry Personnel                      "
PJ1,Effectively writing YARA rules to detect malwares,Quick Heal," •	Search engine for YARA signature pattern selection.
•	Automatically generating YARA rules/signatures that cover a specific set of files.
•	Short scanning time for YARA signatures on large amount of data (clean set) for identifying the best signature candidate.
•	The generated YARA rules should be generic i.e. single signature should cover multiple malware samples.",Security & Surveillance,Software,Complex,"
                      Industry Personnel                      "
SS1,Secure distributed transaction recording system,Hughes Systique Pvt Ltd," Design a system by which we can record and make visible/non-falsifiable/non-repudiable the different transactions between a common citizen and a govt. department for getting and managing a particular form of license/permit. For a specific example, we consider the driving permit. The system should be able to track the different transactions starting from getting the permit (retail/commercial), renewal, recording of traffic rule violations, and possibly, revocation/suspension",Security & Surveillance,Software,Complicated,"
                      Industry Personnel                      "
BP4,Locate faults in Power Distribution Networks,ABB GIS Pvt Ltd," Over the time, cities have built the power distribution asset in phases with varied product technologies. At the time of faults in the physical infrastructure, the distribution utilities take huge time to identify and pin point the fault in the physical infrastructure (especially the cable faults, which is mix of overhead and underground infra). Also, faults in networks are catered to only after they occur. A low cost prediction solution will help in better planning for ad-hoc maintenance.",Energy / Renewable Energy,Software,Complex,"
                      Industry Personnel                      "
BP3,Big Data challenges for e-Mobility- Smart City,ABB GIS Pvt Ltd," A Smart city will have various elements like power, water, etc monitored through a central control room. The Control Center will be the single source of information for administrators and decision makers. The new set of challenges faced by a Smart Grid, e-Charging network and e-Vehicle users culminate in the Smart City Control room as an indicator of traffic movement/congestion, power demand and various other related parameters. The solution need to be integrated into the Smart city control room",Smart Cities,Software,Complex,"
                      Industry Personnel                      "
BP2,Big Data challenges for e-Mobility- infra operator,ABB GIS Pvt Ltd," The E-Charging Operators (equivalent of today’s petrol pump operators) need a Big Data approach to ensure their customers (end-users) satisfaction and optimum utilization of the e-Charging stations. The operator may have fast or slow charging infrastructure with their own payment terms and timings. Based on a data-centric approach the operator can offer dynamic pricing at stipulated times and manage the peak demand accordingly.",Smart Vehicles,Software,Simple,"
                      Industry Personnel                      "
BP1,Big Data challenges for the e-Mobility,ABB GIS Pvt Ltd," An EV user must be assured that power will be available when needed especially in an unfamiliar area. A route optimization approach based on Machine Learning needs to be considered to ensure that vehicle drivers are led to the nearest or their preferred e-Station.",Smart Vehicles,Software,Simple,"
                      Industry Personnel                      "
RA1,Online Adaptive Assessment Platform,SSEPL Skills Pvt Ltd.," Aspirants/Students can be assessed on different fields using this website. Fields can be Reasoning, Aptitude, Technical MCQ, Coding etc.  This will be an online platform with questions at different levels (Difficulty).  Candidate would start at assessment with a medium difficulty question and depending on its response, the platform should decide the next level of questions to be shown (level would increase or decrease as per response). Each question would be assigned a weightage and time duratio",Software - Web App development,Software,Simple,"
                      Industry Personnel                      "
AD3,Biomass Size reduction with low power consumption.,Praj Industries Limited.," In nature we can see lot of Biomass & which can be used for various applications. But for processing this biomass for particular use, we need to do size reduction. At present there is equipment available which can do this, but the power consumption for unit operation is very high. This increases the operating cost of that plant. If we can design / develop size reduction equipment with low power consumption, then it will benefit all biomass based industries.",Agriculture and Rural Development,Hardware,Simple,"
                      Industry Personnel                      "
AD2,Removal of Volatile Acids (eg AA) in waste stream.,Praj Industries Limited.," During various unit operations vapors are getting generated for separation of water, which are then condensed. While handling the effluents, process mixtures, the volatile acids are coming out along with vapors and then in condensate, which is generally colorless. For recycle & reuse of this separated water, we have to treat this to remove volatile acids (main component Acetic Acid). If we innovate / develop techno-economic solution for removal of such volatile acids, lot of water will be reused",Clean Water,Software,Simple,"
                      Industry Personnel                      "
AD1,Development of Non-fouling metallic surfaces/coats,Praj Industries Limited.," To concentrate effluent generally evaporation technic is used. During evaporation plant operation, due to inorganic & organic contents in effluent, fouling occurs on surface of tubes after some duration. This reduces the capacity of plant & need to be cleaned by Cleaning In Place (CIP). If we find the suitable Non-fouling metallic surfaces / coatings for tubes, we can reduce the CIP chemical & water consumption & down time of cleaning. This can give benefit for plant operation and water saving.",Clean Water,Hardware,Simple,"
                      Industry Personnel                      "
CH1,A seed sowing machine for Zero-Till farming,Saguna Rural Foundation," The machine should operate on a permanent raised bed of 100 cm width which can sow seeds with fertilizer in 5 rows at 25 cm apart.  Seeds - rice, gram, pea, groundnut, bajra, maize, Val, etc. Mechanism should be preferably impact dibbler or it should make very thin slit of max depth of 30-40 cm. It should cover the seeds after sowing and be operated by 1-2 people either manually or by 1 hp power and sow 0.6 to 1 ha in 8 hours. Potential of it being self-driven to get higher speed.",Agriculture and Rural Development,Hardware,Complex,"
                      Industry Personnel                      "
MJ3,Uplifting the Farmer through a Connected Ecosystem,Mahindra&Mahindra(FarmEq)," How can a farmer gain access to all the elements of his farming cycle?one stop shop where he has access to information from different aggregators, for retailing , leasing & finally taking his produce to the nearest mandi. Application to provide a means of easy transaction for all his farming activities and his personal expenses. Agri credit should help him buy/lease Farm Machinery & have access to all the local vendors for his plantation needs including expert advice from the local university",Software - Mobile App development,Software,Complex,"
                      Industry Personnel                      "
MJ2,Low cost on the go soil sensing and mapping attached to implements,Mahindra&Mahindra(FarmEq)," Soil Health and Soil Mapping is important for the plant growth and productivity of the Farming. There is an important need to determine NPK (Macro), Micro Nutrients, Electrical conductivity, soil compactness, Organic Content, Soil Moisture, PH value to determine the soil health and map it against the GPS location. GPS tagged information will help user to correct amount of fertilizer at correct location. The soil health data card is very important parameter to monitor for every crop season.",Smart Communication,Hardware,Complicated,"
                      Industry Personnel                      "
MJ1,Low cost & smart cooling system for tractor cabin,Mahindra&Mahindra(FarmEq)," intent is to a design a smart cabin & cooling system for the tractor that would employ a very thoughtful design of a. cabin ensuring all round visibility b. Alternatively, new innovative concepts of cooling without a cabin can also be thought of, cooled seat c. Smart cooling system d. a smart cooling algorithm e. low cost design f. carbon footprint should be at least 50% less and should be compatible for future electric tractors",Agriculture and Rural Development,Hardware,Complicated,"
                      Industry Personnel                      "
KR1,Real Time Mapping of Epidemic Spread,Thermo Fisher," We envision a simple portal which shall provide real time data on how an epidemic is and can spread. Real time status and alerts will be the primary objective of this project. 

To achieve this objective, we will need to build layers of crowd sourced data that will add up to provide rich real time status of an epidemic spread as it happens.",Healthcare & Biomedical Devices,Software,Complex,"
                      Industry Personnel                      "
RK6,Algorithm for double blinding of coal samples,Min. of Coal," The coal samples are marked when they are drawn from the rakes and sent to various labs of sampling agencies 
There is a need for a process to conduct coal sampling so that the anonymity of samples is maintained throughout the sampling stages for determining coal quality
This step is essential to ensure no adulteration in coal quality during the entire process as it can have huge impact in organisational operation",Energy / Renewable Energy,Software,Complicated,"
                      Central Ministry                      "
RB3,Personal Health Influencers through social network,India Health Link Pvt Ltd," Build an API for IHL users (from IHL platform) to choose/select their friends/others from facebook, LinkedIN, whatsapp, others to form a group to play a challenge like average no of steps in a month, healthy food habits, health vitals (decrease in weight/BP etc.Gamify user experience to win rewards, badges etc.",Software - Web App development,Software,Complicated,"
                      Industry Personnel                      "
RB2,Smart body posture recognition & Guiding system,India Health Link Pvt Ltd," We have a self service wellness KIOSK that measures health vital parameters like BMI, BMC, BP, ECG, Pulse, Temp. And it designed to be non-assisted while user measures the vitals. A right body posture yields a correct result. We wanted the system should capture the image of the uses body posture like hand, leg etc via camera and through image processing; Compare the required postures for particular test, Analyse and guide users to have right posture in case the test is not carried out proper",Healthcare & Biomedical Devices,Software,Complicated,"
                      Industry Personnel                      "
